"","Gene","log2( Max Expression Level )","Raw Gini Index","Normalized Gini Index","p-value"
"gene 131","gene 131",0.517186583768888,0.727966185217491,-0.0218217605683886,0.289143108859624
"gene 741","gene 741",0.455215787010718,1.16543913989932,-0.0218028587271906,0.289256872011244
"gene 111","gene 111",0.548281719442663,0.59929241344176,-0.0216692189302466,0.290061799818202
"gene 225","gene 225",0.624961577777613,0.547674716092105,0.0410422920452833,0.290863402841925
"gene 710","gene 710",0.560545707550253,0.832882916999337,0.0410297491767445,0.290939101542222
"gene 992","gene 992",0.498021441610336,0.832882916999337,-0.021494516763173,0.291115631530645
"gene 212","gene 212",0.71029515462271,0.00445103562468561,-0.0214447337190372,0.291416257936407
"gene  72","gene  72",0.658628093763173,0.190795222358842,-0.0210591598863392,0.293749524446758
"gene  59","gene  59",0.465203165905492,1.07335505109248,-0.0209529925287736,0.294393501577859
"gene 506","gene 506",0.578820154089666,0.486487843800437,-0.0208374732768037,0.295094943823357
"gene 333","gene 333",0.505614558834735,0.793661583646047,-0.0208124903590664,0.295246743293126
"gene 510","gene 510",0.461390218480074,1.11149733471358,-0.0206617575847506,0.296163376986647
"gene 521","gene 521",0.581293859188482,0.717270010221067,0.0401072588903405,0.29653157603038
"gene 718","gene 718",0.568321583041162,0.528493987166077,-0.0205314702302157,0.296956728732491
"gene 643","gene 643",0.585762674306653,0.694669791191879,0.0398454037921215,0.298127966535387
"gene 548","gene 548",0.484778672895207,1.4835482403602,0.0398193756660144,0.298286859802707
"gene 598","gene 598",0.563732704003394,0.547674716092105,-0.0201865817289355,0.299061518201725
"gene  78","gene  78",0.41041072930046,1.64171307732758,-0.0201859034852352,0.299065664060934
"gene 839","gene 839",0.592471054371119,0.438582963928918,-0.0199759051207125,0.300350561009798
"gene 827","gene 827",0.48494313604653,0.925498602148638,-0.0198025055948228,0.301413400625036
"gene 158","gene 158",0.616319836178648,0.35173150643757,-0.0196880584541221,0.302115822016642
"gene 816","gene 816",0.628010406291566,0.528493987166077,0.0391573530201883,0.302341185739806
"gene   5","gene   5",0.493189500879789,0.873729554910392,-0.0195593126881408,0.302906878626281
"gene  87","gene  87",0.718714755794328,0.190795222358842,0.0390275021448155,0.303139302963466
"gene  57","gene  57",0.538611518154779,0.643762005628246,-0.0194335065013553,0.303680767894598
"gene 953","gene 953",0.638445147565572,0.486487843800437,0.0387875201991017,0.304616805429052
"gene 609","gene 609",0.47944451801782,1.53015484926451,0.038784622986226,0.304634662321759
"gene 197","gene 197",0.535254151168722,0.986093119426937,0.0387819558660883,0.304651101455691
"gene 192","gene 192",0.693975407406551,0.279701100957027,0.0387767354009799,0.304683279597639
"gene 409","gene 409",0.526789207275893,0.694669791191879,-0.0191280632386378,0.305563345570571
"gene  82","gene  82",0.503149016135191,1.28478638002784,0.0385982211758271,0.305784521798572
"gene 997","gene 997",0.553364425933855,0.860766858928885,0.0385134163981968,0.306308293552352
"gene 830","gene 830",0.514106857795304,0.757931778882259,-0.0189976905767736,0.306368460076248
"gene  63","gene  63",0.452142820641407,1.2253033781585,-0.0188351264079368,0.307373683513054
"gene 427","gene 427",0.499627371299482,0.840117614412476,-0.018659027452412,0.308464234806585
"gene 313","gene 313",0.502574400456119,1.28478638002784,0.038023605496755,0.309341190226553
"gene 671","gene 671",0.490189765243205,1.40678154185722,0.0379464944470275,0.30981985274912
"gene 366","gene 366",0.769678529981409,0.00445103562468561,0.037938641639662,0.309868616724551
"gene 219","gene 219",0.539623074655815,0.643762005628246,-0.0184219500003191,0.309935087400459
"gene 184","gene 184",0.480212274076607,0.968888850602997,-0.01840762784745,0.310024041326444
"gene 586","gene 586",0.617658146286698,0.35173150643757,-0.0183497483460721,0.310383640246861
"gene 569","gene 569",0.478154237838513,0.986093119426937,-0.0183179574641207,0.310581230643493
"gene 226","gene 226",0.665188623151695,0.383076607620891,0.0376615984382159,0.31159112177653
"gene 104","gene 104",0.61668633472876,0.565803078301991,0.0376010481963377,0.311968141931209
"gene 788","gene 788",0.716999231328562,0.190795222358842,0.0373119776790494,0.313770769895521
"gene 430","gene 430",0.565208312859091,0.785131421241046,0.0372213176039911,0.314337040896183
"gene 102","gene 102",0.52936627066855,1.02106670623109,0.0369847578703192,0.315816670514554
"gene 807","gene 807",0.649375827031632,0.438582963928918,0.0369288675398008,0.316166684990187
"gene 999","gene 999",0.51570671872313,0.757931778882259,-0.0173978296489469,0.31632361235399
"gene 279","gene 279",0.519552017195285,0.738293754438733,-0.0173890267209867,0.316378767552124
"gene 299","gene 299",0.443534847611076,1.31973315278283,-0.0173805610143979,0.316431813725479
"gene 522","gene 522",0.490359300491883,1.39376208776897,0.0368499750681693,0.31666103136616
"gene 759","gene 759",0.5030822542988,1.26881173709264,0.0368362853240112,0.316746845752582
"gene 282","gene 282",0.564601785848033,0.785131421241046,0.0366147905929326,0.318136657067038
"gene 160","gene 160",0.561325231824582,0.80194720476545,0.0363935520277099,0.319527421956778
"gene 707","gene 707",0.524401454058708,0.717270010221067,-0.0167851462394335,0.32017210805605
"gene 240","gene 240",0.519897550342746,1.09317055227964,0.0359686296613248,0.322205716199471
"gene 653","gene 653",0.584237040201132,0.682708102873796,0.0356880845986629,0.323979081698609
"gene 917","gene 917",0.405393181979529,1.74402647843778,-0.0160516578876033,0.324804967420383
"gene 674","gene 674",0.498922759247109,0.860766858928885,-0.0159282502885492,0.325587130226958
"gene 439","gene 439",0.662923049947032,0.383076607620891,0.0353960252335532,0.325829483939493
"gene 492","gene 492",0.573042301486649,0.528493987166077,-0.0158107517847286,0.326332555355371
"gene 867","gene 867",0.690210335601903,0.279701100957027,0.0350116635963323,0.328271233735625
